State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Unknown Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Unknown Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Unknown,Count People Primary Unknown Booster Pfizer,Count People Primary Unknown Booster Moderna,Count People Primary Unknown Booster J&J,Count People Primary Unknown Booster Unknown,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Unknown,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Unknown,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Unknown,Percent People Primary Unknown Booster Pfizer,Percent People Primary Unknown Booster Moderna,Percent People Primary Unknown Booster J&J,Percent People Primary Unknown Booster Uknown
Kansas,4528865,155454,204642,3454402,118573,3218036,145411,1851640,63.6,1719995,77.7,1564830,53.7,1458697,65.9,2479305,1821760,227800,0,114773,1341897,1994804,2928,590126,862809,111376,519,589782,757187,111271,457,1460348,63.6,1719995,77.7,50.1,1354314,61.2,1851640,494853,99.9,411842,86.6,196411,197665,17536,230,1006673,211714,952469,1846529,75.3,1564793,63.8,590118,862788,111368,519,3449588,140702,184724,221021,14.1,220723,15.1,180250,22.8,134573,32.7,79615,139559,1780,67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kentucky,6650315,148854,191939,5071649,113519,4785999,138132,2599466,58.2,2442497,70.5,2287634,51.2,2158885,62.3,3487095,2834420,328800,0,201009,2095299,2773644,1697,908284,1184244,193681,1425,908048,1055919,193550,1368,2105438,58.2,2442497,70.5,47.1,1976816,57.1,2599466,688968,91.8,620858,82.7,282417,300534,37187,720,1484908,197839,886042,2594603,68.2,2287475,60.1,908271,1184132,193650,1422,5065963,133099,174725,371200,16.2,370839,17.2,306657,24.9,221632,35.7,138165,228134,4858,43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Louisiana,6496870,139754,182437,4978892,107101,4716695,132448,2523629,54.3,2378256,66.8,2235266,48.1,2118242,59.5,3521670,2695600,279600,0,169052,2041220,2766044,2576,899166,1175093,160037,970,898678,1058732,159872,960,2082901,54.3,2378256,66.8,44.8,1966036,55.2,2523629,654807,88.4,620995,83.8,294685,304518,21594,198,1467806,198079,876745,2523254,64.3,2235112,57,899144,1174986,160013,969,4978409,126893,165596,302700,13.5,302323,14.3,255033,20.9,187338,30.2,94302,206162,2222,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Massachusetts,12604760,182876,227535,10788448,156524,10027778,181017,5622817,81.6,5202469,93.9,4835489,70.2,4492043,81.1,7188960,4875800,540000,0,352766,4125153,6310109,420,1778333,2704885,352124,147,1773028,2367984,350901,130,4523761,81.6,5202469,93.9,65.6,4181523,75.5,5622817,1270687,99.9,1062545,90.9,479001,513266,70225,53,2634410,225292,1077950,5588704,92.9,4823928,80.2,1778322,2693346,352113,147,10742627,178545,209495,659265,13.6,658687,14.7,517507,22.8,370957,34.9,234280,420687,4295,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maryland,11466540,189665,243400,8826278,145993,8175437,173540,4447667,73.6,4103384,87.1,4018160,66.5,3715891,78.9,6743300,4201740,521500,0,316535,3261853,5234644,13246,1421267,2291041,302392,3460,1420774,1989628,302177,3312,3762835,73.6,4103384,87.1,62.2,3460746,73.5,4447667,948099,98.8,872679,91,417075,401509,53112,983,2120142,220987,1195180,4445803,86.1,4017928,77.8,1421228,2290890,302353,3457,8824841,170928,222096,628557,15.6,627806,16.9,496112,26.2,345399,39.6,243555,375584,9295,123,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maine,2495050,185614,227781,2058523,153140,1939436,177058,1049241,78.1,986343,90,957287,71.2,902302,82.4,1342770,1015080,137200,0,125031,827500,1104237,1755,360650,474521,121727,389,360588,419707,121652,355,845782,78.1,986343,90,62.9,790864,72.2,1049241,302510,99.9,272835,95.6,124096,125164,23394,181,665252,233205,874643,1047047,88.4,957248,80.8,360643,474509,121707,389,2056304,173537,210564,164445,17.2,164351,18.2,141495,26.7,107485,39.4,61085,101406,1807,147,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marshall Islands,65910,84782,138673,43449,55889,42002,88371,24513,31.5,23380,49.2,20765,26.7,20533,43.2,6510,47700,11700,0,2259,39768,1420,2,18295,219,2250,1,18263,28,2241,1,18523,31.5,23380,49.2,23.8,18300,38.5,24513,1335,35.8,1169,31.3,1066,1,102,0,2432,65166,1766080,24478,42.7,20754,36.2,18287,219,2247,1,43404,75658,114888,223,1.1,223,1.1,87,1.8,25,2.1,219,4,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michigan,15558970,155794,198382,11873950,118896,11201195,142819,5885185,58.9,5526762,70.5,5381337,53.9,5073237,64.7,8447370,6320600,791000,0,392514,4613226,6866325,1885,2035312,2960146,384928,951,2034642,2653073,384644,878,5029122,58.9,5526762,70.5,50.4,4721272,60.2,5885185,1616345,91.6,1501530,85.1,749211,683913,67858,548,3608025,204374,881328,5870833,68.3,5381188,62.6,2035293,2960038,384908,949,11859575,137982,181023,959263,17.8,958419,18.9,787089,26.7,570506,38,333955,616343,8943,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Minnesota,9056350,160584,208841,7590767,134597,7052351,162629,3729991,66.1,3444554,79.4,3476925,61.7,3226541,74.4,5236770,3391880,427700,0,314438,2769013,4505043,2273,1236868,1931815,307518,724,1234645,1684178,307016,702,3210009,66.1,3444554,79.4,56.9,2960117,68.3,3729991,907319,98.6,861473,93.6,361980,450045,49237,211,2115564,229857,983977,3704985,77.5,3468763,72.6,1236857,1923678,307504,724,7557409,158168,189539,664674,19.1,664106,20.6,530401,30.8,392896,45.6,199158,459072,6337,107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Missouri,8836355,143975,185371,6985876,113824,6581296,138064,3533519,57.6,3313720,69.5,3080128,50.2,2898839,60.8,4986495,3481160,368700,0,218527,2491776,4273282,2291,1083046,1779403,217175,504,1082627,1598874,216933,405,2879921,57.6,3313720,69.5,46.9,2698850,56.6,3533519,959370,90.3,859105,80.9,390158,430629,38164,154,2108233,198508,832020,3527811,67.4,3080051,58.8,1083033,1779363,217151,504,6979784,133311,168771,454887,14.8,454436,15.7,377555,22.9,283794,33,136208,315370,3282,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northern Mariana Islands,91800,177046,254470,75787,146163,66549,184474,37150,71.6,32208,89.3,35091,67.7,30792,85.4,67620,21180,3000,0,905,10001,64881,0,4682,29509,900,0,4681,25211,900,0,34208,71.6,32208,89.3,66,29909,82.9,37150,2993,79.7,2917,77.7,471,2349,97,0,6871,183031,2445390,36861,87.2,35091,83,4682,29509,900,0,75498,178524,217073,4493,12.8,4489,14.6,2913,23.2,1067,36.6,347,4138,8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mississippi,4261035,143173,187087,3064187,102958,2888270,126814,1566549,52.6,1469015,64.5,1376305,46.2,1296957,56.9,2299455,1765080,196500,0,77395,1250406,1734413,1973,545232,754279,76235,559,544925,675345,76147,540,1303948,52.6,1469015,64.5,43.8,1224684,53.8,1566549,422617,86.8,391476,80.4,199875,174469,16861,271,914908,187985,875508,1566283,62.1,1376221,54.6,545221,754220,76221,559,3063869,121513,168993,174296,12.7,174029,13.4,151004,19.6,109816,28.1,74245,98668,1177,206,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Montana,1565445,146471,186320,1239950,116016,1174214,139756,615850,57.6,580389,69.1,545112,51,515615,61.4,816105,656840,92500,0,51376,523167,664051,1356,222165,273639,48966,342,222051,244311,48917,336,500262,57.6,580389,69.1,46.8,470808,56,615850,186822,90.5,170798,82.7,81902,79230,9488,178,418461,202706,758316,615622,67.1,545061,59.4,222146,273613,48960,342,1239667,135099,170602,109865,20.2,109728,21.3,89830,29.6,66835,39.1,41588,66885,1227,165,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
North Carolina,16875440,160901,206116,12767416,121733,11965312,146144,6921664,66,6476657,79.1,5590172,53.3,5243100,64,9547080,6518560,809800,0,440974,4713441,7612178,823,2013655,3147948,428457,112,2010754,2805175,427062,109,5178309,66,6476657,79.1,49.4,4832625,59,6921664,1861461,99.9,1444737,82.5,693463,702731,48494,49,3604532,205845,963708,6893772,76.7,5585092,62.2,2013597,3142945,428438,112,12733779,141714,187807,514440,9.2,514045,9.8,409230,14.3,287280,19.9,173628,335208,5597,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
North Dakota,1094830,143667,188150,839075,110106,794427,136525,425280,55.8,400953,68.9,365703,48,346371,59.5,612090,435240,47500,0,34105,327337,477329,304,137226,195614,32860,3,137026,176623,32719,3,334909,55.8,400953,68.9,43.9,315713,54.3,425280,113459,94.7,97451,81.3,46571,46721,4159,0,247050,206141,913538,423583,66.5,365326,57.3,137221,195246,32856,3,836850,131323,171806,65055,17.8,65009,18.8,52058,28,37992,39,22879,41608,568,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nebraska,2983620,154239,204591,2413459,124765,2249892,154278,1193358,61.7,1105545,75.8,1095447,56.6,1020232,70,1745520,1105400,132700,0,82654,881984,1443733,5088,393159,619511,81429,1348,393000,544583,81355,1294,1021875,61.7,1105545,75.8,52.8,946729,64.9,1193358,294917,94.4,278941,89.3,135561,135943,6599,838,691887,221434,954887,1189680,73.6,1095348,67.7,393135,619456,81411,1346,2409735,148987,184469,180080,16.4,179881,17.6,142842,26.5,106921,38.3,52703,126088,1196,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Hampshire,2457020,180702,222464,1981531,145732,1851602,167648,1082143,79.6,1020162,92.4,862125,63.4,811788,73.5,1371180,941940,143900,0,97280,752191,1132000,60,328084,460919,73056,66,327827,410899,73000,62,790123,79.6,1020162,92.4,58.1,739841,67,1082143,331950,99.9,228016,89.8,95589,117397,14997,33,562547,221594,967849,1079999,90.1,861888,71.9,327979,460813,73030,66,1979123,165124,204996,25051,2.9,25019,3.1,20511,4.4,14875,6.5,6721,18127,198,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Jersey,15821565,178127,227858,12703015,143017,11787007,169753,6768992,76.2,6264980,90.2,5941273,66.9,5519499,79.5,9022545,6017420,781600,0,471214,4850168,7381073,560,2160085,3314038,466934,216,2159468,2893203,466627,201,5507010,76.2,6264980,90.2,62,5085529,73.2,6768992,1482266,99.9,1302172,88.3,606323,608264,87520,65,3068344,207948,1072260,6748284,88.6,5941028,78,2160049,3313911,466852,216,12681752,166463,207676,776969,13.1,775987,14.1,626150,22,424568,32.6,296772,468960,11231,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Mexico,3422955,163244,211164,2920240,139269,2715792,167539,1535598,73.2,1416208,87.4,1313122,62.6,1214445,74.9,1887555,1369300,166100,0,100331,1187849,1625952,6108,517539,694673,99189,1721,517151,596549,99046,1699,1220557,73.2,1416208,87.4,58.2,1122013,69.2,1535598,386058,99.9,335792,88.9,156377,158555,19966,894,807780,213921,906489,1532698,85.7,1313029,73.5,517519,694612,99177,1721,2917349,163215,191501,230281,17.5,230004,18.9,179572,27.4,121034,36,65778,163208,1264,31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nevada,4523710,146866,189473,3745932,121615,3512472,147118,1979406,64.3,1847747,77.4,1648755,53.5,1550128,64.9,2681370,1616540,225800,0,162106,1310421,2272902,503,566904,923867,157941,43,566804,825386,157897,41,1497638,64.3,1847747,77.4,48.6,1399054,58.6,1979406,458576,92.5,394426,79.5,183279,186470,24652,25,966907,194952,912090,1976766,75.4,1648714,62.9,566900,923834,157937,43,3743291,142776,172542,194387,11.8,194260,12.5,161690,20.2,120595,30.6,65918,126562,1907,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New York State,33472255,172062,216996,28221988,145074,26416489,171255,14642865,75.3,13674641,88.7,13101512,67.3,12261546,79.5,19454775,12435780,1581700,0,1202170,10335994,16672807,11017,4636379,7326554,1135713,2866,4634352,6489637,1134888,2669,12006876,75.3,13674641,88.7,61.7,11167691,72.4,14642865,3174716,96.3,2834130,86,1338560,1317697,176660,1213,6562328,199091,1015500,14626659,87.2,13100612,78.1,4636156,7326040,1135565,2851,28205644,168159,199558,1072835,8.2,1071684,8.7,881723,14.4,623296,22,353320,708236,11258,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ohio,17275115,147788,189606,13471402,115248,12717977,139588,6594885,56.4,6193154,68,6109783,52.3,5765734,63.3,9630195,6827520,817400,0,531267,5156896,7766039,17200,2252430,3348239,504437,4677,2251911,3005027,504213,4583,5648706,56.4,6193154,68,48.3,5304860,58.2,6594885,1820923,89,1734602,84.8,783780,860729,87771,2322,4185462,204536,844204,6579035,65.8,6109668,61.1,2252423,3348142,504426,4677,13455138,134542,172739,999401,16.4,998231,17.3,833821,24.9,630345,36.3,353665,632982,12555,199,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Oklahoma,5632820,142352,187465,4621558,116795,4340848,144467,2392545,60.5,2238397,74.5,2003393,50.6,1878696,62.5,2931600,2418720,282500,0,129877,1879416,2611354,911,789932,1086432,126902,127,789672,962099,126811,114,1882264,60.5,2238397,74.5,47.6,1757654,58.5,2392545,624959,98.4,525506,82.7,266357,239511,19606,32,1313908,206872,886874,2388527,71.8,2003318,60.2,789914,1086390,126887,127,4617424,138861,169397,280695,14,280427,14.9,234344,22.9,173935,33.1,108208,170249,2226,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Oregon,7611605,180467,227132,5815614,137885,5437529,162257,2913813,69.1,2711880,80.9,2669300,63.3,2495081,74.5,4233105,2968100,410400,0,238513,2154351,3417498,5252,952898,1485605,229517,1280,950064,1315106,228709,1202,2460959,69.1,2711880,80.9,58.3,2287534,68.3,2913813,719034,93.9,673317,87.9,304023,317922,50801,571,1599908,208843,993578,2900132,79.5,2663490,73,952894,1479806,229514,1276,5795813,158887,208665,425134,15.9,424780,17,334820,26.2,253691,37.7,140649,279400,4930,155,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pennsylvania,22186985,173309,218217,18286295,142839,17216748,169333,10307941,80.5,9700287,95.4,7852488,61.3,7401922,72.8,12016245,8887840,1282900,0,697189,7158234,10429562,1310,2939602,4219339,692978,569,2937039,3771871,692484,528,7180285,80.5,9700287,95.4,56.1,6730184,66.2,10307941,3038831,99.9,2192966,91.6,1030100,1071254,91355,257,5616722,234679,927022,10283952,92.8,7850777,70.8,2939455,4217845,692908,569,18260624,164784,200216,718556,9.2,717685,9.7,590380,13.9,428329,19.5,269411,442621,6503,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Puerto Rico,5693090,178260,217214,5134972,160785,4743192,180971,2645266,82.8,2434797,92.9,2362363,74,2179281,83.1,3292950,2194740,205400,0,137701,2013697,2983094,480,903022,1324079,135179,83,902611,1141602,135007,61,2232835,82.8,2434797,92.9,69.9,2049922,78.2,2645266,644484,94.8,573356,84.4,282464,267862,23016,14,1312392,193097,837643,2643835,92.8,2361951,82.9,902957,1323783,135128,83,5133188,180220,199877,246222,10.4,245821,11.3,182738,16.2,115116,20.1,66021,178767,1429,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rhode Island,1942655,183380,227247,1619101,152838,1513406,177034,840830,79.4,782151,91.5,757117,71.5,706835,82.7,1109295,749460,83900,0,56759,608416,952868,1058,271873,429641,55351,252,271780,379477,55328,250,707954,79.4,782151,91.5,66.8,657695,76.9,840830,198493,99.9,179893,96.2,81252,92174,6377,90,439832,235146,1038600,838418,90.4,757065,81.6,271868,429596,55350,251,1616667,174305,209453,114273,15.1,114123,16.1,96039,25.5,71079,39.5,40656,72648,965,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Republic of Palau,33990,157858,204969,32657,151667,30018,181017,18030,83.7,16679,99.9,15726,73,14433,87,7290,22900,3800,0,2333,25632,4692,0,11632,1756,2338,0,11632,463,2338,0,13393,83.7,16679,99.9,62.2,12100,73,18030,1791,89.9,1715,86.1,1468,20,227,0,3874,194478,1706330,18030,96.7,15726,84.3,11632,1756,2338,0,32657,175152,182301,1509,9.6,1509,10.5,1144,20.5,648,37.8,1503,6,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
